# slug	grade	title	url	note
limb-wright-young-2024	peer-reviewed	Wright, E. and Young, C. A. (2024). A Raster-oriented Method for Creating Eclipse Maps. The Astronomical Journal 168, 163	https://doi.org/10.3847/1538-3881/ad6b23	Read through the IOP HTML in several targeted passes (the PDF download returned a script page). Source of the DEM-to-limb-profile algorithm, the L = 18000 bin recommendation, the 0.01 deg libration refresh threshold, the totality test rho, the 49-sided umbra, the 696000 km solar radius, DE440 and the Moon ME frame, and the Herald 1983 history.
limb-svs-4517	primary	NASA SVS 4517: Umbra Shapes (Wright, E., released 2016-12-13)	https://svs.gsfc.nasa.gov/4517/	Read from a Wayback Machine snapshot dated 2025-12-10 because the live host refused connections. Describes the point-cloud limb method, SLDEM2015, SRTM, DE421, the polygonal umbra, the up to 3 km elevation shift and the 18x exaggerated limb animation.
limb-svs-5073	primary	NASA SVS 5073: The 2023 and 2024 Solar Eclipses: Map and Data (Garrison, M. and Wright, E., released 2023-03-08; DOI 10.5281/zenodo.17145181)	https://svs.gsfc.nasa.gov/5073/	Read from a Wayback Machine snapshot dated 2026-01-02. Lists the released shapefiles and KML (center, duration, ppath, umbra_hi at 1 s, umbra_lo at 10 s, upath) and the datasets used (SRTM, LOLA, SLDEM2015, DE421). No limb-profile file is released.
limb-svs-12412	primary	NASA SVS 12412: Tracing the 2017 Solar Eclipse (Wright, E., released 2016-12-14)	https://svs.gsfc.nasa.gov/12412/	Read from a Wayback Machine snapshot dated 2026-01-23. The narrated 2017 path video; states the polygonal shadow derives from LRO limb data.
limb-svs-5219	primary	NASA SVS 5219: 2024 Path of Totality (Wright, E.)	https://svs.gsfc.nasa.gov/5219/	Read from a Wayback Machine snapshot dated 2025-12-12. States the 2024 umbra and path were computed with Earth elevations and the irregular lunar limb, datasets LOLA, SLDEM2015, SRTM, DE421.
limb-svs-5365	primary	NASA SVS 5365: Broken Annular Baily's Beads Simulation (Wright, E., released 2024-09-19)	https://svs.gsfc.nasa.gov/5365/	Read from a Wayback Machine snapshot dated 2026-01-18. Real-time bead simulation for the 2005-04-08 hybrid eclipse at 94.02587 W, 6.45677 N, 21:55:20.5 to 21:55:35.5 UTC, using SLDEM2015 and DE421.
limb-nasa-accurate-maps-2024	primary	NASA Science (2024). NASA develops process to create very accurate eclipse maps	https://science.nasa.gov/solar-system/skywatching/eclipses/solar-eclipses/nasa-develops-process-to-create-very-accurate-eclipse-maps	Read. Press description of the Wright and Young paper: pixel-by-pixel rendering, LRO topography, several seconds of timing effect, the potato-shaped umbra.
limb-jubier-sem-limb-window	company	Jubier, X. Solar Eclipse Maestro Help: LRO-Kaguya-Watts Lunar Limb Profiles Window	http://xjubier.free.fr/en/site_pages/solar_eclipses/Solar_Eclipse_Maestro_Help/pgs/c1sem63.html	Read (fetched with curl; the WebFetch proxy refused the host). States the three profiles shown, the Morrison/Appleby 1981 and Rossello/Jordi 1991 Watts corrections, the 0.241 deg Watts-to-axis angle offset, k = 0.2725076 = 1738.091 km, and the text export of the profile for the current topocentric libration.
limb-jubier-sem-beads-window	company	Jubier, X. Solar Eclipse Maestro Help: Baily's Beads Study Window	http://xjubier.free.fr/en/site_pages/solar_eclipses/Solar_Eclipse_Maestro_Help/pgs/c1sem70.html	Read (curl). LRO profile with the solar limb drawn at C2 and C3, a time slider, corrected contacts C2' and C3', heights in arcsec against k = 0.2725076.
limb-jubier-map-help	company	Jubier, X. Solar Eclipses Interactive Google Maps: help page	http://xjubier.free.fr/en/site_pages/solar_eclipses/xSE_GoogleMap3_Help.html	Read from a local copy. Defines the LC column (limb correction in seconds added to the uncorrected contact time), states the IAU 1976 solar radius 959.63 arcsec is used, the true photospheric value is closer to 959.98 arcsec, and that limb corrections change totality start and end by a few seconds.
limb-occult-accuracy-2016	company	Herald, D. (2016-11-20). Update to Occult and Observations	http://www.lunar-occultations.com/iota/bstar/occultaccuracy.htm	Read (curl). States that a position-angle error of up to 0.2 deg in the traditional method corrupted the limb correction, and that with the LOLA lunar limb (Occult download #26) most occultation predictions are within 0.3 s of observation.
limb-iota-2026-predictions	trade	Dunham, D. W. (2025). IOTA occultation predictions for 2026: using Occult 4 to compute your own	http://www.lunar-occultations.com/iota/2026iotapredictions.pdf	Read (curl and pdftotext). Instructions for Occult 4 graze profiles: under Kaguya/LOLA profile data select LOLA with HiRes, leave Observed data at None because Watts-era observed corrections are obsolete; computing detailed profiles is computer-intensive.
limb-occult-tutorial-preston-2019	company	Preston, S. (2019). Occult v4 Overview	https://occultations.org/documents/OccultTutorial.pdf	Read from a local text copy. Confirms the LOLA lunar limb data download, the Show LOLA high resolution limb option on graze profiles, and the remark that with Gaia and LOLA grazes no longer yield unique limb information.
limb-dunham-rasc-2026	trade	Dunham, D. W. (2026). Lunar Occultations. RASC Observer's Handbook 2026	https://occultations.org/publications/rasc/2026/lunar26.pdf	Read (pdftotext). States that graze observations complement LRO laser ranging and have revealed small residual errors still under investigation, and that graze zones are 2 to 3 km wide.
limb-eclipse-orchestrator-lro	company	Moonglow Technologies. Lunar Reconnaissance Orbiter data for Limb Profiles (Eclipse Orchestrator)	http://www.moonglowtechnologies.com/products/EclipseOrchestrator/LRO.shtml	Read (curl). Describes building a limb file from 90 GB of LOLA RDR shots filtered to 434 million points, merged with Kaguya, and states that mountains missed by one mission change 2010 contact times by up to 0.5 s.
limb-andrmoel-lunar-limb-profile	company	andrmoel/astronomy-bundle-js, package lunarLimbProfile (README and utils/limbProfile.ts)	https://github.com/andrmoel/astronomy-bundle-js/blob/master/packages/lunarLimbProfile/README.md	README and the utils/limbProfile.ts source read through WebFetch. TypeScript package that bilinearly samples an LDEM .img, searches psi from 87 to 93 deg in 0.02 deg steps along a position angle, and returns the excess apparent radius over the 1737.4 km sphere. No validation against observations is documented.
limb-lola-ldem128-label	primary	PDS Geosciences Node. LRO LOLA GDR label ldem_128.lbl (LRO-L-LOLA-4-GDR-V1.0, V3.0)	https://pds-geosciences.wustl.edu/lro/lro-l-lola-3-rdr-v1/lrolol_1xxx/data/lola_gdr/cylindrical/img/ldem_128.lbl	Read. 128 pix/deg, 236.901 m/pix, A_AXIS_RADIUS 1737.4 km, OFFSET 1737400, SCALING_FACTOR 0.5, 16-bit, MEAN EARTH/POLAR AXIS OF DE421, data 2009-07-13 to 2016-11-29.
limb-lola-gdr-dir	primary	PDS Geosciences Node. LRO LOLA GDR cylindrical img directory listing	https://pds-geosciences.wustl.edu/lro/lro-l-lola-3-rdr-v1/lrolol_1xxx/data/lola_gdr/cylindrical/img/	Read. Lists ldem_4 (2.07 MB), ldem_16 (33.2 MB), ldem_64 (530.8 MB), ldem_128 (2.12 GB), ldem_256, ldem_512 and 1024 pix/deg tiles of 943.7 MB each, with .lbl and .xml labels.
limb-lola-gdr-dscat	primary	PDS Geosciences Node. LOLA GDR data set catalog gdr_ds.cat	https://pds-geosciences.wustl.edu/lro/lro-l-lola-3-rdr-v1/lrolol_1xxx/catalog/gdr_ds.cat	Read. States the GDR is raster DEMs with detached labels at 4, 16, 64, 128, 256 and 512 pix/deg plus sparse 1024 pix/deg maps and polar stereographic maps from 240 m down to 5 m per pixel.
limb-sldem2015-label	primary	PDS Geosciences Node. SLDEM2015 label sldem2015_128_60s_60n_000_360_float.lbl (V2.0)	https://pds-geosciences.wustl.edu/lro/lro-l-lola-3-rdr-v1/lrolol_1xxx/data/sldem2015/global/float_img/sldem2015_128_60s_60n_000_360_float.lbl	Read. 128 pix/deg, 0.236901 km/pix, A_AXIS_RADIUS 1737.4 km, PC_REAL 32-bit in km, MEAN EARTH/POLAR AXIS OF DE421, GRGM900B gravity for geolocation, heights -8.717 to +10.778 km, coverage 60S to 60N.
limb-barker-2016-sldem	peer-reviewed	Barker, M. K., Mazarico, E., Neumann, G. A., Zuber, M. T., Haruyama, J. and Smith, D. E. (2016). A new lunar digital elevation model from the Lunar Orbiter Laser Altimeter and SELENE Terrain Camera. Icarus 273, 346-355	https://doi.org/10.1016/j.icarus.2015.07.039	Not read (publisher returned 403). The 512 pix/deg resolution, the 3 to 4 m vertical accuracy, the 1737.4 km reference and the 1737.1512 km mean radius are taken from the PGDA product page, the ODE help page and a search summary of the abstract.
limb-pgda-sldem2015	primary	NASA GSFC Planetary Geodesy Data Archive. High-resolution Lunar Topography (SLDEM2015), product 54	https://pgda.gsfc.nasa.gov/products/54	Read. Coverage 60S to 60N, LOLA vertical precision about 10 cm and accuracy about 1 m, TC effective resolution 60 to 100 m, the two-step co-registration, download paths at imbrium.mit.edu.
limb-ode-sldem	primary	PDS Orbital Data Explorer. LRO LOLA Digital Elevation Model Coregistered with Selene Data (SLDEM)	https://ode.rsl.wustl.edu/moon/pagehelp/Content/Missions_Instruments/LRO/LOLA/SLDEM.htm	Read. 43200 SELENE DEMs plus 4.5 billion LOLA heights, about 60 m effective resolution, typical vertical accuracy about 3 to 4 m, file name convention SLDEM2015_PPP_NNND_SSSD_MMM_OOO_FLOAT.
limb-smith-2010-lola	peer-reviewed	Smith, D. E. et al. (2010). Initial observations from the Lunar Orbiter Laser Altimeter (LOLA). Geophysical Research Letters 37, L18204	https://doi.org/10.1029/2010GL043751	Not read (publisher and mirrors returned 403 or 405). The centre-of-mass to centre-of-figure offset of 1.9347 km toward 7.12 N, 202.38 E and the 10 m radial, 100 m spatial grid accuracy are taken from a search summary and should be verified against the paper.
limb-lalt-ggt-map-label	primary	JAXA DARTS. SELENE LALT global grid topographic map label LALT_GGT_MAP.lbl (SLN-L-LALT-5-TOPO-GGT-MAP-V2.0)	https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-lalt-5-topo-ggt-map-v2.0/data/LALT_GGT_MAP.lbl	Read. 16 pixel/deg, 1.8952094015 km/pixel, A_AXIS_RADIUS 1737.400 km, PC_REAL 32-bit in km, MEAN EARTH/POLAR AXIS OF DE421, heights relative to a 1737.4 km sphere centred on the centre of mass, produced with GMT sphinterpolate.
limb-darts-kaguya-faq	primary	JAXA DARTS. Kaguya Frequently Asked Questions	https://darts.isas.jaxa.jp/missions/kaguya/faq.html	Read. LALT grid at 16 pixels/deg (about 1.9 km) under sln-l-lalt-5-topo-ggt-map-v2.0; SLDEM2013 from the Terrain Camera at 4096 pixels/deg (about 7.4 m).
limb-araki-2009	peer-reviewed	Araki, H. et al. (2009). Lunar global shape and polar topography derived from Kaguya-LALT laser altimetry. Science 323, 897-900	https://doi.org/10.1126/science.1164146	Not read (paywalled). Cited for the first complete polar topography and the spherical harmonic shape model to degree 359 on a quarter-degree grid, via search summaries and the Sigismondi thesis.
limb-ltvt-kaguya-wiki	company	fermigas/ltvt wiki. Obtaining Kaguya DEM data (Lunar Terminator Visualization Tool)	https://github.com/fermigas/ltvt/wiki/Obtaining-Kaguya-DEM-data	Read. LTVT reads LALT_GGT_MAP.IMG (63 MB, 16 points/deg) and the two polar files at 64 points/deg from DARTS.
limb-raponi-sigismondi-2012	peer-reviewed	Raponi, A., Sigismondi, C., Guhl, K., Nugent, R. and Tegtmeier, A. (2012). The measurement of solar diameter and limb darkening function with the eclipse observations. Solar Physics 278, 269-283 (arXiv:1109.3559)	https://arxiv.org/abs/1109.3559	Read the opening sections from the arXiv PDF. Defines the solar limb as the inflection point of the limb darkening function and uses the Kaguya limb profile with bead light curves.
limb-raponi-sigismondi-2011-ldf	preprint	Raponi, A. and Sigismondi, C. (2011). Solar Limb Darkening Function from Baily's Beads Observations. arXiv:1112.0403	https://arxiv.org/abs/1112.0403	Abstract read. Reports light from the solar limb detected at least 0.65 arcsec beyond the LDF inflection point in the 2010-01-15 eclipse videos.
limb-sigismondi-thesis-2011	preprint	Sigismondi, C. (2011). High precision ground-based measurements of solar diameter in support of PICARD mission. PhD thesis, Nice and Rome (arXiv:1112.5878)	https://arxiv.org/abs/1112.5878	Read the sections on Kaguya versus Watts. Source of the Kaguya sampling of 1.5 km and 1 m height accuracy, the 0.20 arcsec Watts precision, Table 3.1 of Watts datum radii, and Table 3.2 comparing Watts and Kaguya contact times at Hao atoll for 2010-07-11.
limb-sigismondi-2009-guidelines	peer-reviewed	Sigismondi, C. (2009). Guidelines for measuring solar radius with Baily beads analysis. Science in China Series G 52, 1773-1777	https://doi.org/10.1007/s11433-009-0233-8	Not read (paywalled). Abstract via search summary: two reduction procedures, one on limb heights and one on times, for beads timed from central-eclipse video with a known lunar limb profile.
limb-sigismondi-beads-atlas-2009	peer-reviewed	Sigismondi, C., Dunham, D. W., Guhl, K. et al. (2009). Baily's Beads Atlas in 2005-2008 Eclipses. Solar Physics 258, 191-202	https://doi.org/10.1007/s11207-009-9400-3	Not read (paywalled). Cited as the atlas of bead timings reduced with the Watts profile in Occult 4, identified by Watts angle.
limb-gunasekera-2011-ipsl	preprint	Gunasekera, S., Adassuriya, J., Medagangoda, I., Fernando, L. H. J. D. K. and Jayaratne, K. P. S. C. (2011). Solar radius determination using Baily beads observations of annular solar eclipse on 15 January 2010 in Sri Lanka. Proceedings of the Technical Sessions, Institute of Physics Sri Lanka 27, 107-113	https://ipsl.lk/documents/TechSession/2011/ipsl11-15.pdf	Read (pdftotext). Southern-limit bead timings with Occult 4 and the Kaguya profile gave a solar radius correction of +0.26 plus or minus 0.18 arcsec, i.e. 959.89 arcsec.
limb-eclipsetours-edge	trade	Nugent, R. Eclipse Edge Observation (eclipsetours.com)	https://www.eclipsetours.com/eclipse-edge-observation/	Read. IOTA field practice: sites 1 to 3 km inside the path edge, beads lasting a minute or more at the edge, timing to 0.5 s, positions to 30 m and 20 m elevation, bead sizes from 1 to 2 km valleys down to 50 to 200 m features. Mentions only Watts data.
limb-besselianelements-reentrant	trade	Besselian Elements blog (Irwin, J. and Quaglia, L.). Re-Entrant Totality	https://www.besselianelements.com/re-entrant-totality/	Read. A 2026 Greenland location where the polygonal umbra edge lets an observer enter totality, exit for about 2 s, and re-enter; the result flips with a 0.05 arcsec change in solar radius.
limb-stellarium-issues	company	Stellarium GitHub issue search: lunar limb profile	https://github.com/Stellarium/stellarium/issues?q=lunar+limb+profile	Read. The query returns no issue about a lunar limb profile, limb topography or Baily's beads; used as the negative finding that Stellarium does not model the limb.
